18	Purchasers of Modern Communications Equipment
21	Satellite Launch Contracts
24	Machine Translation
29	Border Incursions
31	Demographic Shifts across National Boundaries
35	1988 Presidential Candidates Platforms
37	Alternative/renewable Energy Plant & Equipment Installation
38	Official Corruption
39	Bank Failures
42	Downstream Investments by OPEC Member States
45	What Backing Does the National Rifle Association Have?
54	New Space Satellite Applications
59	Actions Against International Terrorists
79	Vietnam Veterans and Agent Orange
81	Standardized testing and cultural bias
86	The Effectiveness of Medical Products and Related Programs Utilized in the Cessation of Smoking.
93	Abuse of the Elderly by Family Members, and Medical and Nonmedical Personnel, and Initiatives Being Taken to Minimize This Mistreatment
96	Reform of the U.S. Welfare System
101	Oil Spill Cleanup
106	Cigarette Consumption
109	Domestic Violence
118	Imposition of a school uniform or dress code
120	China Trade
123	For-profit hospitals
126	Worldwide Welfare
132	International Organized Crime
133	Poliomyelitis and Post-Polio
139	Rap and Crime
144	Unsolicited Faxes
152	Risk of Aspirin
161	ocean remote sensing
172	food/drug laws
180	obesity medical treatment
181	alternative medicine
188	orphan drugs
195	foreign minorities, Germany
208	quilts, income
213	law enforcement, dogs
220	curbing population growth
223	tourism, increase
233	whan did Jackie Robinson appear at his first game
235	when can a lender foreclose on property
240	how e-mail bennefits businesses
241	Jennifer Aniston
243	baltimore
249	motorcycle safety helmets
1001	lien and state,  address and name, of debtors
1005	user demand about New York heating ventilation and air conditioning companies
1009	damage ranks on roof insurance
1010	Hartford family resources
1018	species class and sex
1021	scientific conferences
1024	financial resource data
1029	career paths, introduction of each job, salary
1035	Southampton room seating layout
1037	causes and prevents of cancer, ovarian cancer, lung cancer, breast cancer
1038	wastewater treatment plant in Maryland
1039	salmon recovery region
1045	Maryland, agriculture, vegetative cover, excluding livestock, water management
1054	goal and kpi of DoITT's Strategic Plan 2015
1059	Mathematics Subject Classification, concept, notation, homepage, description, creator
1079	uninsured motor or vehicle, physical damage, company, medical payments
1081	Austin's park development comments
1086	business type and address of small businesses in Hampton
1093	IEEE papers, data resource
1096	cancer, cancer risk, cancer causes, cancer treatments
1100	Mathematics Subject Classification notation
1101	USAID evaluations fiscal year 2016
1106	ENERGY STAR 2018
1109	salmon recovery population goals
1116	air quality standard
1118	comments for landfill emission
1120	undersea features
1123	recommend people for positions in Cleaner Air Oregon Regulatory Overhaul Advisory
1126	Social web content
1133	language feature about German
1139	Case completed by the urban planning department in the South Valley
1144	LGBTQ students
1152	people with hiv
1171	equipment concern
1172	seo plugin
1181	road event
1186	Civil Penalties of Columbia Riverkeeper
1189	permit fee of timber industry
1193	Telecommunication in milpitas
1198	mouth entity
1207	housing fund
1209	Association of Global Automakers
1212	Advanced Biofuels Business Council
1222	Washington state department of ecology
1224	senior employment services
1229	hiv immunocompetent
1232	US representative congressional district
1234	station concern
8	Water Pollution
17	U.S. Technology Policy
25	Hostage-Taking
32	Automation
33	Greenpeace
40	Criminal Actions Against Officers of Failed Financial Institutions
47	Computer-aided Crime Detection
48	Fiber Optics Applications
51	Catastrophic Health Insurance
52	Find Innovative Companies
57	Generic Drug Substitutions
60	Death from Cancer
61	RDT&E of New Cancer Fighting Drugs
63	Anti-smoking Actions by Government
66	McDonnell Douglas Contracts for Military Aircraft
67	The Human Genome Project
69	Industrial Espionage
70	U.S. Political Campaign Financing
71	Coping with overcrowded prisons
72	Insurance Coverage which pays for Long Term Care
75	Causes and treatments of multiple sclerosis (MS)
83	Cost of Garbage/Trash Removal
85	Use of Mutual Funds in an Individual's Retirement Strategy
88	Hazardous Waste Cleanup
92	U. S. Restaurants in Foreign Lands
100	Efforts to Improve U.S. Schooling
104	Non-invasive procedures for persons with heart ailments
105	Environmental Protection
110	Firefighter Training
116	Electric Automobiles
117	Herbal Food Supplements/Natural Health Care Products
121	Electronic Surveillance
128	Animal husbandry for exotic animals
129	Deaths from Scuba Diving
131	Air Traffic Control Systems
142	Marine Vegetation
143	Unexplained Highway Accidents
147	Modern Slavery
158	Metabolism
167	transportation tunnel disasters
168	rabies
178	cigar smoking
187	organic soil enhancement
200	poaching, wildlife preserves
203	salvaging, shipwreck, treasure
218	Greek, philosophy, stoicism
219	Estonia, economy
232	hunger
252	DNA Testing
1008	customers' requests on the home services
1016	funding programs for adult education
1017	digitized newspaper
1025	Hampton business directory including company name, contact number, email, address, vendor and so on.
1032	child abuse
1033	Education High Schools, college career rate, school name, location, graduation rate
1040	Audit Community Survey
1047	city governance, mayor duties, voting
1048	victims and offenders under the age of 18
1051	GeoSpecies Knowledge Base, Species, Ecoregion Classification
1052	energy star markets
1057	music genre, copyright year, license, creators' emails, organizations' emails
1060	Chattanooga published city datasets
1061	Chinook protection, stock, salmon recovery region, species
1063	dblp conference location
1066	photos of Southampton buildings, 800 pixels
1067	air quality permit
1069	Joy Taylor artist work
1070	Spanish Terminology
1071	University of Southampton phone service
1072	roof material
1075	soil erosion control
1083	Cities and graduation rates of high schools offering Spanish courses in the United States
1085	the purpose of the workforce development fund and preparation
1088	2017 school address
1092	GeoSpecies datasets
1104	measles immunization Washington State
1105	City of Chattanooga data steward s email address
1110	Financial Literacy Resource provided by organization name
1117	archaeological heritage
1121	closed cases in September 2018
1128	children care program
1129	agency to reduce homeless individuals
1131	Personal profiles from realify
1142	housing cases in July 2018
1143	publishing open data
1147	comments for clean fuels program
1158	admin for children's services
1167	wikidata alignment
1168	public safety expenditures
1178	Italian parliamentary activities
1187	lobbyist gifts for alderman
1188	Election results by party
1200	Activity Expenses
1208	incidents 2017
1218	youth commission
1220	education for the deaf-mute and the blind
1221	child blood lead levels
1241	IEEE conferences
